product,Juic,Alc,SD,Wat,Cof,FFV,Spices,PBF,PBD,PBS,Starch,PFV,Beef,OM,CM,ABF,Cheese,Fish,Dairy,PrepM,PrepD
Juic,-1.342,0.186,0.173,0.06,0.089,-0.013,0.024,0.103,0.055,-0.009,0.032,0.038,0.16,0.128,0.073,0.107,-0.156,0.007,0.152,0.012,0.003
Alc,0.09,-1.22,0.121,0.043,0.07,0.002,0.016,0.032,0.021,0.098,0.018,0.037,0.055,0.065,0.071,0.038,0.122,0.124,0.077,0.049,0.054
SD,0.202,0.291,-1.479,0.039,0.093,0.017,0.004,0.03,-0.047,0.011,0.016,0.018,0.075,0.059,0.053,0.054,0.248,0.019,0.089,0.11,0.028
Wat,0.051,0.075,0.028,-1.387,0.025,0.072,0.0,0.039,0.06,0.014,0.064,0.028,0.119,0.022,0.092,0.055,0.315,0.008,0.124,0.08,0.009
Cof,0.094,0.152,0.085,0.031,-0.945,-0.029,0.025,0.031,0.028,0.014,0.013,0.01,0.077,0.029,0.046,0.054,-0.002,0.111,0.107,0.051,0.104
FFV,-0.024,0.007,0.027,0.155,-0.051,-1.067,-0.003,0.002,0.026,-0.017,0.079,0.028,0.074,0.214,0.082,0.075,0.217,-0.048,0.05,0.135,0.085
Spices,0.09,0.12,0.011,-0.001,0.087,-0.006,-0.984,0.01,0.043,0.237,-0.019,0.025,0.163,0.083,0.046,0.018,-0.064,0.092,0.08,-0.104,0.052
PBF,0.183,0.116,0.046,0.082,0.052,0.002,0.005,-1.157,0.073,0.037,0.122,0.099,0.096,0.111,0.088,0.014,-0.251,0.035,0.228,-0.021,0.083
PBD,0.071,0.055,-0.052,0.091,0.034,0.018,0.015,0.053,-1.031,0.043,0.029,0.03,0.187,0.048,0.073,0.046,-0.179,0.193,0.104,0.096,0.047
PBS,-0.012,0.274,0.013,0.022,0.018,-0.013,0.086,0.028,0.045,-1.098,0.031,0.007,0.187,0.083,-0.056,0.013,-0.066,0.264,-0.022,0.146,0.075
Starch,0.062,0.074,0.027,0.147,0.024,0.084,-0.01,0.134,0.043,0.044,-1.227,0.056,0.089,0.163,0.112,-0.011,-0.024,-0.011,0.097,0.006,0.005
PFV,0.084,0.169,0.034,0.074,0.02,0.034,0.015,0.123,0.051,0.011,0.064,-1.242,0.106,0.129,0.078,0.046,-0.083,0.102,0.105,0.001,0.044
Beef,0.085,0.06,0.034,0.074,0.039,0.022,0.023,0.029,0.077,0.073,0.024,0.026,-1.097,0.094,0.096,0.039,0.013,0.061,0.099,0.017,0.012
OM,0.095,0.098,0.037,0.019,0.02,0.087,0.016,0.046,0.028,0.045,0.061,0.043,0.13,-1.308,0.057,0.042,0.12,0.091,0.081,0.094,0.027
CM,0.07,0.14,0.044,0.104,0.042,0.043,0.012,0.047,0.054,-0.04,0.055,0.034,0.174,0.075,-1.184,0.061,0.044,0.004,0.114,0.052,0.068
ABF,0.163,0.119,0.07,0.099,0.078,0.062,0.007,0.012,0.054,0.014,-0.008,0.032,0.111,0.087,0.096,-1.292,0.025,0.057,0.05,0.032,-0.007
Cheese,-0.098,0.156,0.132,0.232,-0.001,0.074,-0.011,-0.088,-0.087,-0.03,-0.008,-0.023,0.015,0.101,0.029,0.01,-0.787,-0.018,0.028,0.119,-0.13
Fish,0.006,0.234,0.015,0.008,0.097,-0.024,0.023,0.018,0.138,0.179,-0.005,0.042,0.106,0.114,0.004,0.035,-0.027,-1.173,0.102,0.053,0.069
Dairy,0.108,0.113,0.054,0.104,0.072,0.02,0.015,0.091,0.058,-0.012,0.035,0.034,0.133,0.078,0.084,0.023,0.032,0.079,-1.303,0.029,-0.027
PrepM,0.012,0.1,0.094,0.094,0.048,0.073,-0.028,-0.011,0.074,0.107,0.003,0.0,0.032,0.127,0.054,0.021,0.19,0.057,0.041,-1.159,0.053
PrepD,0.002,0.095,0.021,0.009,0.085,0.04,0.012,0.04,0.032,0.047,0.002,0.017,0.02,0.032,0.061,-0.004,-0.178,0.064,-0.033,0.046,-1.467
