poste2000,posteCOICOP,label2000
1111,111,riz
1112,111,pain
1113,111,pates alimentaires
1114,111,patisseries
1115,111,autres produits a base de cereales
1121,112,"viande bovine fraiche, congelee ou surge"
1122,112,"viande porcine fraiche, congelee ou surg"
1123,112,"viande ovine ou caprine fraiche, congele"
1124,112,"viande de volaille fraiche, congelee ou"
1125,112,"viande sechee, salee ou fumee et abats c"
1126,112,conserves de viande ou produits de la tr
1127,112,"autres viandes comestibles fraiches, con"
1131,113,"poissons frais, congeles ou surgeles"
1132,113,"fruits de mer frais, congeles ou surgele"
1133,113,"poissons et fruits de mer seches, fumes"
1134,113,conserves de poisson et de fruits de mer
1141,114,lait entier
1142,114,lait ecreme ou demi-ecreme
1143,114,lait en conserve
1144,114,yaourt
1145,114,fromage et lait caille
1146,114,autres produits laitiers
1147,114,oeufs
1151,115,beurre
1152,1151,margarine et autres graisses vegetales
1153,115,huile d'olive
1154,115,huiles alimentaires
1155,115,autres graisses animales comestibles
1161,116,"agrumes (frais, refrigeres ou congeles)"
1162,116,"bananes (fraiches, refrigerees ou congel"
1163,116,"pommes (fraiches, refrigerees ou congele"
1164,116,"poires (fraiches, refrigerees ou congele"
1165,116,"fruits a noyaux (frais, refrigeres ou co"
1166,116,"baies (fraiches, refrigerees ou congelee"
1167,116,"autres fruits frais, refrigeres ou conge"
1168,116,fruits seches
1169,116,conserves de fruit et produits a base de
1171,117,"legumes a feuilles et a tiges (frais, re"
1172,117,choux (frais ou congeles)
1173,117,legumes cultives pour leurs fruits (frai
1174,117,"racines alimentaires, racines non amylac"
1175,117,legumes seches
1176,117,legumes surgeles
1177,117,legumes en conserve ou transformes
1178,117,pommes de terre
1179,117,autres tubercules et produits a base de
1181,118,sucre
1182,118,"confitures, marmelades"
1183,118,chocolat
1184,1181,confiseries
1185,118,glaces alimentaires et cremes glacees
1186,118,autres produits a base de sucre
1191,119,"sauces, condiments"
1192,119,"sel, epices et herbes culinaires"
1193,119,"levure de boulanger, preparations pour d"
1194,119,produits alimentaires n.d.a.
1211,121,cafe
1212,121,the
1213,121,cacao et chocolat en poudre
1221,122,eaux minerales ou de source
1222,122,boissons gazeuses
1223,122,jus de fruit
1224,122,jus de legumes
1311,119,depenses exceptionnelles alimentation
2111,211,spiritueux et liqueurs
2121,212,vins a base de raisin ou d'autres fruits
2122,212,autres aperitifs
2131,213,biere
2211,2201,cigarettes
2212,2202,cigares et cigarillos
2213,2203,tabac sous d'autres formes et produits c
3111,311,tissus d'habillement
3121,312,vetements pour hommes
3122,312,vetements pour dames
3123,312,vetements pour enfants (de 3 a 13 ans) e
3131,313,autres articles vestimentaires et access
3141,314,"nettoyage, reparation et location de vet"
3211,321,chaussures pour hommes
3212,321,chaussures pour dames
3213,321,chaussures pour enfants (de 3 a 13 ans)
3221,322,reparation et location d'articles chauss
3311,312,depenses exceptionnelles habillement cer
3411,312,depenses habillement personnes hors domi
4111,411,loyers reels des locataires et sous-loca
4121,412,autres loyers reels
4311,431,produits pour l'entretien et la reparati
4321,432,services d'entretien et de reparation du
4431,441,adduction d'eau
4441,444,autres services relatifs au logement n.d
4500,4511,gaz et electricite non dissociables
4511,451,electricite
4521,452,gaz de ville et gaz naturel
4522,4522,"hydrocarbures liquefies (butane, propane"
4531,453,combustibles liquides
4541,454,combustibles solides
4551,455,"eau chaude, vapeur d'eau et glace"
5111,511,mobilier de chambre
5112,511,mobilier de sejour
5113,511,mobilier de cuisine et salle de bain
5114,511,tables et chaises et sieges
5115,511,mobilier de jardin
5116,511,"autres meubles, accessoires"
5117,511,depenses exceptionnelles : achats de meu
5121,512,tapis et autres revetements de sol
5131,513,reparation de meubles articles d'ameuble
5141,511,depenses equipement personnes vivant hor
5211,520,articles de literie
5212,520,autres articles de menage en textiles
5311,531,"refrigerateurs, congelateurs et refriger"
5312,531,"lave-linge, seche-linge et lave-vaissell"
5313,531,fourneaux
5314,531,appareils de chauffage et de climatisati
5315,531,materiel de nettoyage
5316,531,machine a coudre
5317,531,autres gros appareils electromenagers
5321,532,petits appareils electromenagers
5331,533,reparation d'appareils menagers
5411,540,"verrerie et cristallerie, vaisselle"
5412,540,coutellerie et argenterie
5413,540,ustensiles de cuisine et autres articles
5414,540,"reparation de verrerie, vaisselle et aut"
5511,551,gros outillage de bricolage
5512,551,gros outillage de jardinage
5513,551,reparation du gros outillage
5521,552,petit outillage et accessoires divers de
5522,552,petit outillage et accessoires divers de
5523,552,reparation des petits outillages et acce
5611,561,produits de nettoyage et d'entretien
5612,561,autres produits menagers non durables
5621,562,services domestiques
5622,562,autres services d'entretien du logement
6111,611,produits pharmaceutiques
6112,612,autres produits medicaux
6113,613,appareils et materiel therapeutiques
6211,621,services medicaux
6221,622,services dentaires
6231,623,services des laboratoires d'analyse medi
6232,623,services des auxiliaires medicaux
6233,623,autres services non hospitaliers
6311,630,services hospitaliers
6411,611,depenses de sante personne vivant hors d
7111,711,achats d'automobiles neuves
7112,711,achats d'automobiles d'occasion
7121,712,motocycles
7131,713,cycles
7211,721,pieces detachees et accessoires
7221,722,carburants et lubrifiants
7231,723,entretien et reparation
7241,724,services de location d'un local
7242,724,autres services relatifs aux vehicules p
7311,731,transport de voyageurs par chemin de fer
7321,732,transport de voyageurs par route
7331,733,transport de voyageurs par air
7341,734,transport de voyageurs par mer et voies
7351,736,autres services de transport
7411,736,transport exceptionnel lie a une ceremon
8111,810,services postaux
8121,831,telephones et telecopieurs
8131,832,services de telephone et de telecopie
9111,911,"appareils de reception, d'enregistrement"
9112,911,televiseurs et magnetoscopes
9121,912,equipement photographique et cinematogra
9122,912,instruments d'optique
9131,913,"ordinateur portable, autre equipement in"
9132,913,ordinateur de bureau
9141,914,supports d'enregistrement pour l'image e
9151,915,"reparation des equipements audiovisuels,"
9211,922,instruments de musique
9212,921,equipements lies au sport et aux loisirs
9221,923,entretien et reparation des autres biens
9311,931,jeux jouets passe-temps et petits intruments de musique
9312,932,"equipements de sport, de camping et de l"
9321,933,horticulture
9331,934,animaux d'agrement et produits connexes
9411,941,services sportifs et recreatifs
9421,942,"cinemas, theatres, salles de concert"
9422,942,"musees, jardins zoologiques et similaire"
9423,942,services de television et de radiodiffus
9424,935,"autres services : veterinaires, toiletta"
9431,943,jeux de hasard
9511,951,livres
9521,952,journaux et periodiques
9531,953,imprimes divers
9541,954,articles de papeterie et de dessin
9611,960,voyages a forfait
9711,941,autres depenses loisir personne hors dom
10111,1010,enseignement maternel et primaire
10121,1020,enseignement secondaire
10131,1040,enseignement superieur
10141,1050,enseignement ne correspondant a aucun ni
10151,1050,enseignement personne vivant hors domici
11111,11112,restaurants
11112,11113,"cafes, bars et assimiles"
11121,1112,cantines
11211,1120,services d'hebergement
12111,1211,salons de coiffure et esthetique corpore
12121,1212,appareils electriques pour soins personn
12122,1213,"autres appareils, articles et produits p"
12131,1220,services des soins personnels (prostitut
12211,1231,"articles de bijouterie, de joaillerie et"
12221,1232,articles de voyage et autres contenants
12222,1232,autres effets personnels
12311,1240,services de protection sociale
12411,1251,assurances vie
12421,1252,assurances liees au logement
12431,1253,assurances liees a la sante
12441,1254,assurances liees aux transports
12451,1255,autres assurances
12511,1262,services financiers n.d.a
12611,1270,autres services n.d.a.
12612,9901,montant caution
12711,1270,mont frais ceremonie autres depenses
13111,9911,impots et taxes residence principale
13121,9912,impots et taxes residence secondaire
13131,9912,impots et taxes autre logement
13141,9913,impots sur le revenu
13151,9914,"taxes sur automobile (vignette,pv)"
13161,9915,autres impots et taxes
13211,9903,travaux residence principale
13221,9903,travaux residence secondaire
13231,9903,travaux autre logement
13311,9921,prets residence principale
13321,9922,prets residence secondaire
13331,9923,autres prets
13411,9902,achats de logements
13501,119,cadeau alimentation
13513,532,cadeau equipement du logement
13521,312,cadeau vetements et chaussures
13531,9933,cadeau en nature (services)
13541,9933,cadeau en especes
13611,9941,prelevement par employeur
